Kategori,Hiragana,Kanji,Arti,Bab
Kata Benda,わたし,私,Saya,Bab 1
Kata Benda,あなた,あなた,Kamu / Anda,Bab 1
Kata Benda,あのひと,あの人,Dia (Orang Itu),Bab 1
Kata Benda,あのかた,あの方,Beliau (Lebih Sopan dari 'Dia'),Bab 1
Kata Benda,〜さん,〜さん,Bpk / Ibu / Sdr (Menyebut Nama Orang Lain),Bab 1
Kata Benda,〜ちゃん,〜ちゃん,Adik (Menyebut Nama Anak Kecil),Bab 1
Kata Benda,〜じん,〜人,Orang (Menyebut Asal Negara / Suku),Bab 1
Kata Benda,せんせい,先生,Guru / Dosen / Dokter (Memanggil Ahli),Bab 1
Kata Benda,きょうし,教師,Guru / Dosen (Profesi),Bab 1
Kata Benda,がくせい,学生,Pelajar / Mahasiswa,Bab 1
Kata Benda,かいしゃいん,会社員,Karyawan Perusahaan,Bab 1
Kata Benda,しゃいん,社員,Karyawan,Bab 1
Kata Benda,ぎんこういん,銀行員,Pegawai Bank,Bab 1
Kata Benda,いしゃ,医者,Dokter,Bab 1
Kata Benda,けんきゅうしゃ,研究者,Peneliti,Bab 1
Kata Benda,だいがく,大学,Universitas / Perguruan Tinggi,Bab 1
Kata Benda,びょういん,病院,Rumah Sakit,Bab 1
Kata Benda,だれ / どなた,誰 / どなた,Siapa (どなた Lebih Sopan),Bab 1
Kata Benda,〜さい,〜歳,Umur ... Tahun,Bab 1
Kata Benda,なんさい / おいくつ,何歳 / おいくつ,Umurnya Berapa (おいくつ Lebih Sopan),Bab 1
Kata Benda,はい,はい,Iya,Bab 1
Kata Benda,いいえ,いいえ,Bukan,Bab 1
Kata Benda,アメリカ,アメリカ,Amerika Serikat,Bab 1
Kata Benda,イギリス,イギリス,Inggris,Bab 1
Kata Benda,インド,インド,India,Bab 1
Kata Benda,インドネシア,インドネシア,Indonesia,Bab 1
Kata Benda,かんこく,韓国,Korea Selatan,Bab 1
Kata Benda,タイ,タイ,Thailand,Bab 1
Kata Benda,ちゅうごく,中国,China,Bab 1
Kata Benda,ドイツ,ドイツ,Jerman,Bab 1
Kata Benda,にほん,日本,Jepang,Bab 1
Kata Benda,ブラジル,ブラジル,Brazil,Bab 1
Ungkapan,はじめまして,初めまして,Salam Kenal,Bab 1
Ungkapan,〜からきました,〜から来ました,Saya berasal dari ...,Bab 1
Ungkapan,どうぞよろしくおねがいします,どうぞよろしくお願いします,Mohon bantuannya,Bab 1
Ungkapan,しつれいですが,失礼ですが,Permisi / Maaf mengganggu,Bab 1
Ungkapan,こちらは〜さんです,こちらは〜さんです,Ini adalah Bpk/Ibu/Sdr ...,Bab 1
Kata Benda,これ,これ,Ini (dekat pembicara),Bab 2
